[0.00-4.00] 我們在座我們有總經理我們紀先生在這邊
[4007.14-4009.14] 那我怎麼再講
[4009.14-4010.64] 就四月份來看的時候
[4010.64-4011.84] 四月份我們在結算的時候
[4011.84-4015.14] 其實當時台幣已經開始在走升段了
[4015.14-4018.14] 從3月底的那時候大概33塊左右
[4018.14-4019.64] 就已經開始在走升段
[4019.64-4021.84] 那走升段其實我們在四月份我們一看
[4021.84-4023.64] 我們的匯兌
[4023.64-4025.64] 剛才講的業外收支那一段的匯兌
[4025.64-4027.64] 剛才講的免疫資產 免疫負債那一段
[4027.64-4029.14] 負匯的那一段
[4029.14-4032.14] 這就是產生GAIN
[4032.14-4035.64] 那其實在五月份這邊來看的時候
[4035.64-4039.14] 五月份現在還在也是一樣還是GAIN
[4039.14-4041.14] 但是在四月份的時候
[4041.14-4043.64] 那種所謂的台幣升值對毛利的壓縮
[4043.64-4044.64] 影響度還沒有那麼大
[4044.64-4045.14] 因為它是一個
[4045.14-4047.14] 它是後半月的
[4047.14-4050.14] 所以真正的影響會是可能在五月份開始
[4050.14-4051.14] 五月份開始
[4051.14-4053.14] 所以我自己有稍微去算了一下
[4053.14-4055.14] 那個所謂的匯率 民產度
[4055.14-4057.14] 對毛利的壓縮我剛才講的
[4057.14-4059.14] 大概就是每升值一個本身
[4059.14-4061.14] 大概就是0.1個來分給的
[4061.14-4063.14] 這個是大概是
[4063.14-4066.14] 我是看到大概是六月初的庫存
[4066.14-4068.14] 六月初的庫存水位是這樣子
[4068.14-4069.14] 那如果以剛才講的
[4069.14-4071.14] 所謂的部位的那種環境上面來講
[4071.14-4073.14] 每升值一個本身大概我的
[4073.14-4074.64] 我對我的NDP context
[4074.64-4077.64] 大概是正向大概超過2000萬的正向
[4077.64-4080.64] 所以那個是資產不在的部位
[4080.64-4081.64] 這樣可能就是這樣子
[4081.64-4082.64] 但是我跟你講
[4082.64-4085.64] 那個不是always存在
[4085.64-4087.64] 因為當APD一還掉
[4087.64-4088.64] 美金借款一還掉
[4088.64-4089.64] 重新再借的時候
[4089.64-4091.64] 那匯率就已經變得開始不一樣
[4091.64-4094.64] 所以那個就會重新rebalance一次
[4094.64-4097.64] 或甚至是structural 其實是這樣子
[4104.64-4109.64] 第二話
[4109.64-4112.64] 剛剛有提到能源
[4112.64-4114.64] 我到這個地方還很想
[4114.64-4117.64] 就是它應該歸類在哪裡的人
[4117.64-4118.64] 業內還有沒有
[4118.64-4122.64] 這個應該在工業
[4122.64-4125.64] 比較像在工業
[4125.64-4127.64] Internet
[4127.64-4128.64] 還沒透出來
[4128.64-4129.64] 因為它太小
[4129.64-4131.64] 歸類在Internet
[4164.64-4172.08] 好 那不然我們今天就這樣
[4172.08-4177.64] 那如果有想要再進一步的聊可以留下來我們再談
[4177.64-4181.64] 好那就謝謝 謝謝大家
