[0.00-8.20] 各位贵宾早安
[3835.34-3836.46] 所以我们觉得
[3837.70-3840.06] 接下来如果还说有刚刚讲的那种
[3840.06-3842.34] container变balker这种转单的话
[3842.50-3843.94] 应该是不会这么多
[3844.06-3845.90] 所以我们对于未来两年
[3847.06-3850.74] supply供给的成长稳定性是认为是稳定的
[3851.34-3852.06] 谢谢你的问
[3853.90-3859.74] 谢谢各位投资人今日参与
[3859.74-3862.66] 也谢谢惠阳公司的精辟的解说
[3862.66-3865.06] 今天的会议就到此结束
[3865.06-3866.06] 谢谢各位投资人
