[0.00-8.34] 各位凱基的客户大家好
[4762.88-4764.66] 对佳龙来讲对吧
[4765.44-4767.22] 应该说那个
[4769.28-4770.30] 是不是小众
[4771.06-4772.60] 理论上应该是因为
[4773.42-4778.28] 我们的大厂的话他会希望类似我们这样的厂商提供他一个
[4778.80-4783.66] 环保部分能够有个很完整的考量比如说要是你是一个
[4783.92-4784.68] 科技大厂
[4784.94-4786.72] 你会担心说你东西
[4786.98-4787.76] 后来个
[4788.26-4789.54] 轻易商会被
[4789.80-4791.34] 有没有好好处理结果
[4791.84-4796.96] 被丢在河里或者丢在南部的一个什么地方这个以前就上过那个新闻所以
[4797.22-4798.00] 丛门
[4798.50-4799.28] 从我们来
[4799.78-4802.08] 从我们家来说我希望是个
[4802.34-4803.12] 小众不是
[4803.42-4804.96] 不是很常常发生的一个
[4805.20-4807.00] 业务形态那这也不是我们
[4807.26-4813.14] 想要做的一个业务形态而且我们认为说total solution才是真正未来能够把我们的
[4813.40-4816.98] 价格提升也都也可以提升客户的价值的一个
[4817.24-4818.52] 一个商业模式
[4819.54-4821.60] 那理解了
[4822.62-4823.38] 谢谢
[4823.64-4824.16] 那个
[4824.40-4827.48] 两位非常就是对这个行业比较那个
[4828.00-4829.02] 就是
[4829.28-4829.78] 算是
[4830.04-4831.32] 对我们来讲的话比较
[4831.84-4833.12] 全面的
[4833.42-4836.74] 那我最后就想因为我也常听人家说
[4837.00-4839.82] 这个废弃物常常跟黑道挂钩啊
[4840.32-4843.14] 您是不是也也也也有中心
[4843.40-4846.48] 怎么讲的这种耳闻啊对我们来讲话
[4846.98-4850.06] 要有一些影响黑道的影响
[4850.32-4851.84] 比较容易拿到案子
[4852.88-4856.72] 我想这可能也是跟之前有个
[4856.96-4859.78] 问题就是说是有跟地区性或者有些
[4860.04-4860.80] 关系
[4861.06-4863.12] 拿到那个案子
[4863.42-4865.46] 那我相信
[4865.72-4867.76] 在过去的那种叫传统
[4868.02-4868.54] 不是
[4868.80-4870.84] 真正以环保为主的这种
[4871.36-4873.66] 理念的一些企业
[4873.92-4874.94] 他们可能就是以
[4875.44-4876.48] 那个
[4877.24-4880.56] 价格为主或者有些关系这样处理掉
[4880.82-4881.84] 我想这个
[4882.10-4885.94] 在台湾这个社会风气应该是有存在的但是
[4886.20-4886.96] 我还是
[4887.22-4888.24] 觉得回到说
[4888.50-4891.32] 我们的客户基本上我们所追求客户都是
[4891.58-4892.86] 对环保有一定的
[4893.42-4894.44] 这个
[4894.70-4896.74] 环保理念有一定的这个
[4897.00-4898.02] 这个需求这个
[4898.28-4899.82] 要求然后呢我们也
[4900.08-4901.60] 能够把我们整个
[4901.86-4903.14] 服务提高到
[4903.40-4904.42] 他们能够
[4905.70-4907.76] 能够应付他们需求的这个
[4908.26-4910.56] 价值来来来做业务
[4910.82-4911.34] 所以
[4911.60-4913.38] 是单纯的回收
[4913.64-4915.44] 或者单纯处理
[4915.94-4917.48] 这样子的业务
[4917.74-4919.02] 过去其实
[4920.80-4923.12] 我们已经看到竞争非常的激烈
[4923.42-4925.20] 我们竞争后面是不是有很多的因素
[4925.46-4926.24] 我们不敢去
[4926.48-4927.26] 猜想
[4927.52-4930.08] 只是说那个模式的话
[4930.32-4933.14] 不会是未来我们新加农的一个模式
[4935.44-4937.24] 好的谢谢
[4940.32-4944.16] 非常感谢以上投资先进的宝贵意见
[4944.40-4946.72] 那也谢谢发言人
[4946.96-4947.74] 谢谢财务长
[4948.00-4953.12] 我们今天加农的线上法说就到这边告一个段落谢谢大家
[4953.36-4955.20] 那也祝福大家投资顺利
[4955.46-4956.48] 高五节快乐
[4957.00-4957.76] 谢谢财务长
[4958.28-4959.30] 谢谢发言人
[4959.56-4960.08] 谢谢
[4960.58-4961.36] 大家拜拜
[4961.86-4964.68] 那祝大家投资顺利谢谢拜拜
[4965.20-4965.70] 拜拜
