[0.00-4.08] 各位投资先进媒体朋友们
[4883.42-4884.96] 腾农换鸟的我们会让他
[4885.72-4887.00] 在未来性跟
[4887.52-4888.80] 高质性的这个
[4889.30-4890.58] 产品跟技术上面
[4890.84-4891.36] 我们会
[4891.60-4892.88] 会在那里面去做扩充
[4893.14-4893.66] 那
[4893.92-4895.44] 当然我们也会做整顿
[4895.70-4896.72] 所以有一些
[4897.24-4897.76] 已经
[4898.00-4899.80] 没有具备未来应用价值的
[4900.32-4901.34] 那我们就会做活化
[4901.60-4902.36] 做出售
[4902.62-4903.12] 然后把
[4903.38-4904.16] 资金回收
[4904.46-4904.72] 来
[4904.96-4906.24] 补充我们营运资金
[4906.50-4909.32] 或者说我们去做我们结构性的改变就好像刚刚讲
[4909.58-4913.42] 包含我们的这个资本结构的改变或者是我们负债
[4913.92-4915.98] 甚至于是充实我们其他
[4916.48-4917.52] 该要做
[4917.76-4919.30] 这个新的投资的这一块
[4919.56-4920.08] 所以我想
[4920.32-4922.12] 这个是未来几年我们在做的事情
[4922.38-4923.14] 好谢谢
[4925.44-4929.28] 那这边我再补充一下那个扩力能力跟
[4929.54-4934.16] OPEX的这个部分我修正一下刚才Frank的这个整个三个P的
[4934.46-4937.78] 这个货力能力的一个预估跟目标
[4938.04-4943.42] 事实上在之前的这个法说里面也跟大家报告过就是说大概这个三个P的
[4943.68-4949.82] 这个转型的过程中我们看到的数字跟给自己的目标基本上vertical跟mobility的部分
[4950.08-4952.64] Gross margin大概我们都是设定在这个
[4952.88-4956.22] High-teens到Low-20s的这个水准
[4956.48-4959.04] 那Display基本上就是Single-digit
[4959.80-4963.64] 那另外一个就是OPEX的部分我想大家从过去
[4964.46-4966.50] 看到的数字确实是比较高一点
[4966.76-4971.12] 那从第四季刚才大家从资料上可以看到就是
[4971.36-4976.74] 基本上数字来到这个12.8%全年是11.7%我想
[4977.00-4982.12] 这个刚才这个两位主管包括Paul跟Frank也提到这个大概就是因为过去
[4982.38-4983.14] 这个
[4983.40-4991.60] 在布局vertical跟mobility的时候购品的费用比较多一点还有初期的这个整合的费用多一点那我想现在应该是高峰了
[4991.84-4994.16] 那接下来透过整个
[4994.46-4996.50] 公司的经营团队会对费用
[4996.76-5000.60] 进一步的严格的一个控管还有应该会开始看到
[5000.86-5001.88] 这一个
[5002.14-5008.28] 所有这个包括BHTC还有Alpaco这些并进来的团队已经就位了以后开始会发挥一些
[5008.54-5010.08] 这个合并的
[5010.32-5010.84] 的作用
[5011.10-5012.38] 所以我们短期
[5012.64-5018.52] 现在给自己设定的目标今年应该OPEX应该的合理的水准应该在
[5018.78-5020.06] 11-12%
[5020.82-5024.16] 那中长期在这个三个P的之下全级
[5024.46-5028.56] 集团的合并的OPEX的ratio应该设定在10%
[5028.80-5030.60] 以上是我的一个补充说明
[5032.14-5032.64] 谢谢
[5032.90-5035.20] 因为时间的关系我们今天的法人说明会
[5035.46-5036.48] 就到此结束
[5037.00-5041.10] 各位投资人如果还有任何的问题麻烦会后再跟IR团队联系
[5041.36-5043.66] 谢谢各位我们下一期先上街
